Feature,Importance
Year_Founded,0.7868370694829887
Investors_x_Year,0.025854255156815453
Val_x_Investors,0.021413619493846438
Investor_Efficiency,0.01632196909125458
Val_per_Investor,0.013952832295536873
Era_2010-2014,0.010908781172451391
CountryTier_x_Investors,0.010019466217371762
Investors_x_Era_2010-2014,0.009743335176389485
Geo_Advantage,0.009233237610278002
Log_Val,0.008162735731338012
Valuation ($B),0.008140247012839287
Val_Squared,0.008002971448657352
Ind_Enterprise_Tech,0.007776493738294461
Log_Valuation,0.007740944136751637
TopVC_x_Year,0.005498722905376991
Ind_Other,0.0037179982097349505
Hub_x_TopVC,0.003716175583303466
Ind_Fintech,0.0033296367962232657
Country_Tier,0.0032292081625634986
Is_Tech_Intensive,0.0031701952639212492
Hub_x_EnterpriseTech,0.0029530470480075956
CountryTier_x_TopVC,0.002952299338195572
Is_Tech_Hub,0.0025480096794170885
VC_Quality_Score,0.0023507095845360163
Is_Silicon_Valley,0.0022127114282512635
Hub_x_Fintech,0.002145123219706384
TechIntensive_x_TopVC,0.00206920644124383
Ind_Healthcare,0.0018898423581428015
Investors_x_Era_2020+,0.0017759391513243901
Investors_Squared,0.0016638388781944607
Log_Investors,0.0016115355024735646
Investor_Count,0.0016025169909338805
Valley_x_TopVC,0.0014026517770119895
Has_Top_VC,0.0012281999566526795
Investors_x_Era_2015-2019,0.001150961600506349
TopVC_x_Era_2010-2014,0.0007767987903534326
Era_Pre-2000,0.0005539716917576811
Investors_x_Era_Pre-2000,0.0004762292158714719
TopVC_x_Era_2015-2019,0.00044976913315156484
TopVC_x_Era_Pre-2000,0.00033704226884211005
ValCat_Small,0.00031996051919635013
Era_2015-2019,0.0003050549369143887
ValCat_Mega,0.00018303488984095558
Era_2020+,0.00015149884298602405
TopVC_x_Era_2020+,0.00012015207055131647
