Category,N_Features,Total_Importance,Avg_Importance
Temporal,15,0.8449395815962806,0.056329305439752037
Investor,13,0.0803050211505551,0.006177309319273469
Geographic,6,0.022321337148223833,0.0037202228580373053
Industry,4,0.01671397110239548,0.00417849277559887
Valuation,6,0.03254989373862359,0.005424982289770598
Interactions,0,0.0,0.0
Other,1,0.0031701952639212492,0.0031701952639212492
