Configuration,N_Features,Ridge_R2,RF_R2,Best_R2,CV_R2,Best_Model
All Features (Full Model),32,0.8549483838086034,0.8207851137791229,0.8549483838086034,0.8195611217293554,Ridge
Investor + Temporal + Interactions,27,0.8410321862408585,0.820301242199449,0.8410321862408585,0.8080340539838113,Ridge
Investor + Temporal (No Interactions),12,0.8405471690333562,0.8188793261719152,0.8405471690333562,0.806479496752579,Ridge
Temporal Features Only,10,0.8368324045844612,0.8240882909750961,0.8368324045844612,0.8028844248387397,Ridge
Investor Features Only,7,0.03616221759784899,-0.10273067046859974,0.03616221759784899,0.03318317242904543,Ridge
