Model,Test R²,Test RMSE,Test MAE,CV R² Mean
Linear Regression,1.0,7.274614732333572e-14,2.4169642665225456e-14,1.0
Random Forest,0.9686696621858121,0.8984623172980556,0.2622767689283524,0.957383844025476
