Category,Total_Importance
Temporal,0.9839950468087783
Founding Era,0.013695302711469882
Valuation,0.0007427437717475588
Investors,0.0007152643148621294
Industry,0.00046717964964183427
Geography,0.0003167774010251808
Valuation Category,3.557933735013922e-05
Other,3.210600512502554e-05
